TrackName,ArtistName,LyricsLink,SpotifyID
Nordisch by Nature,"Fettes Brot, …",https://www.songtexte.com/songtext/fettes-brot/nordisch-by-nature-bdb6182.html,6NYZ0wmDmpMe8NBQcttXKY
Jede Stunde,Karat,,6hvQQGEA9qmkci6MTdVWRa
Märchenprinz,EAV (Erste Allgemeine Verunsicherung),,1zG2Lv2YSiYiIun8qt48CI
Maschine brennt,Falco,https://www.songtexte.com/songtext/falco/maschine-brennt-73dc8efd.html,7wO8VpG6hxcyfpVPfuxXI1
Da vorne steht ne Ampel,Der Plan,,2Mpb4UdgfPHmzMInwh85iE
Der Mussolini,DAF,,42fajCHnu13mK3GIMglz6n
Frauen kommen langsam - aber gewaltig,Ina Deter,https://www.songtexte.com/songtext/ina-deter/frauen-kommen-langsam-aber-gewaltig-73da7299.html,2IoCqjdWbREasKdyaf38vi
Kleines Stubenmädchen,"Die Doraus & Die Marinas, Andreas Dorau",,0MlFXVERgkagZ4PAJpskys
Der Knutschfleck,IXI,https://www.songtexte.com/songtext/ixi/der-knutschfleck-7bfd8298.html,5nyCTsdu7eceNi7NIFPqfs
Tri Tra Trullala (Herbergsvater),Joachim Witt,,7p5hKfwynPA6exrzXz0yKM
"Küss die Hand, schöne Frau",EAV (Erste Allgemeine Verunsicherung),https://www.songtexte.com/songtext/erste-allgemeine-verunsicherung/kuss-die-hand-schone-frau-23dcf417.html,25riiKmvLNTKmMrIcGgo1z
Am Fenster,City,,0Ivmp9TKs3lupVoqygFaIS
Taschenrechner,Kraftwerk,,5NNIxs46bsdO4DLZALKVoG
"Da Da Da, ich lieb dich nicht du liebst mich nicht, Aha Aha Aha",Trio,https://www.songtexte.com/songtext/trio/da-da-da-5bc2037c.html,6XLGYUwJPc2IyL6TNnENfl
Sommersprossen,UKW,https://www.songtexte.com/songtext/ukw/sommersprossen-43db737f.html,4lnQHbV1JoQfbanvJdLrPq
Rosemarie,Hubert Kah,https://www.songtexte.com/songtext/hubert-kah/rosemarie-5bc27b68.html,4LYvl2jiB2EkCpZzTA8vxS
"Flieger, grüß mir die Sonne",Extrabreit,,5nshHPZBuAn0kndDRsjeX5
Bruttosozialprodukt,Geier Sturzflug,https://www.songtexte.com/songtext/geier-sturzflug/bruttosozialprodukt-63c38637.html,2jWCLuhLinumCeHiCGONu3
Jeanny,Falco,https://www.songtexte.com/songtext/falco/jeanny-part-iii-53c0ef21.html,6a0lr0jt8lKDJhsAYA49NS
Paul ist tot,Fehlfarben,,5LsnOuchRKABvkQLtb9lnT
