TrackName,ArtistName,LyricsLink,SpotifyID
Er gehört zu mir,Marianne Rosenberg,https://www.songtexte.com/songtext/marianne-rosenberg/er-gehort-zu-mir-73c38a15.html,6COzABVCHQzyvc3rTMtrXn
Griechischer Wein,Udo Jürgens,https://www.songtexte.com/songtext/udo-jurgens/griechischer-wein-3de4d27.html,452WSSzuklpg0w4RKTlkvn
"Theo, wir fahr'n nach Lodz",Vicky Leandros,https://www.songtexte.com/songtext/vicky-leandros/theo-wir-fahrn-nach-lodz-23c2587b.html,2NPZ09aKySR09OoDbB8oVg
Albany (deutsche Version),Roger Whittaker,https://www.songtexte.com/uebersetzung/roger-whittaker/albany-deutsch-73d6cefd.html,6GYJuqJfkXe6Wa58Z9PZEX
Blau blüht der Enzian,Heino,https://www.songtexte.com/songtext/heino/blau-bluht-der-enzian-43ce0b07.html,5r7vW3eTF4AvpabzRLXWoe
Ich hab geträumt von dir,Matthias Reim,https://www.songtexte.com/songtext/matthias-reim/ich-hab-getraumt-von-dir-3dbadff.html,4YfZZ4TuqbvtFBYvzJjTUe
Ich will keine Schokolade,Trude Herr,https://www.songtexte.com/songtext/trude-herr/ich-will-keine-schokolade-5bf6afc4.html,48N0qA4BX71bCNFTRq1CbG
Ohne dich schlaf ich heut Nacht nicht ein,Münchner Freiheit,https://www.songtexte.com/songtext/munchener-freiheit/ohne-dich-schlaf-ich-heut-nacht-nicht-ein-4bc03b82.html,7JM1dFLOa1kI5MqGnDufiY
Fiesta Mexicana,Rex Gildo,https://www.songtexte.com/songtext/rex-gildo/fiesta-mexicana-43de5f43.html,1rN5NmqLUBwAlacJreDnR9
Mit 66 Jahren,Udo Jürgens,https://www.songtexte.com/songtext/udo-jurgens/mit-66-jahren-1bde4ddc.html,687anwxZ267LHbA4bw1Enq
"Verlieben, verloren, vergessen, verzeih’n",Wolfgang Petry,https://www.songtexte.com/songtext/wolfgang-petry/verlieben-verloren-vergessen-verzeihn-6bde5296.html,5SYHMGmqS3cOOKuCarASBT
Weiße Rosen aus Athen,Nana Mouskouri,https://www.songtexte.com/songtext/nana-mouskouri/weisse-rosen-aus-athen-1bcf7d34.html,1dhjer579Kbkv1WAb8kZP5
Die kleine Kneipe,Peter Alexander,https://www.songtexte.com/songtext/peter-alexander/die-kleine-kneipe-5bc26bc0.html,7lkm69lMX7sGuxhrncPMTW
Ein Stern (der deinen Namen trägt),DJ Ötzi und Nik P.,https://www.songtexte.com/songtext/dj-otzi/ein-stern-der-deinen-namen-tragt-23db68e7.html,1o5evgltJughVgrPinzAOV
Wahnsinn,Wolfgang Petry,https://www.songtexte.com/songtext/wolfgang-petry/wahnsinn-73de525d.html,16CCUMReocx2dtFgmSqORr
Abschied ist ein scharfes Schwert,Roger Whittaker,https://www.songtexte.com/songtext/roger-whittaker/abschied-ist-ein-scharfes-schwert-43c3bb3b.html,48zDzV1S0zEd394sQcQZIz



















